reference_date,report_date,count,delay
2019-12-29,2020-01-21,1,23
2020-01-01,2020-01-20,2,19
2020-01-10,2020-01-20,1,10
2020-01-10,2020-01-21,2,11
2020-01-10,2020-01-22,1,12
2020-01-10,2020-01-23,1,13
2020-01-10,2020-01-25,1,15
2020-01-10,2020-01-26,2,16
2020-01-10,2020-01-27,3,17
2020-01-10,2020-01-28,1,18
2020-01-10,2020-01-29,1,19
2020-01-10,2020-01-30,1,20
2020-01-10,2020-02-11,1,32
2020-01-10,2020-02-02,2,23
2020-01-10,2020-02-04,1,25
2020-01-10,2020-02-06,1,27
2020-01-10,2020-02-07,1,28
2020-01-11,2020-01-20,1,9
2020-01-11,2020-01-21,2,10
2020-01-11,2020-01-22,1,11
2020-01-11,2020-01-23,1,12
2020-01-11,2020-01-26,1,15
2020-01-11,2020-01-28,1,17
2020-01-11,2020-01-29,1,18
2020-01-11,2020-01-30,1,19
2020-01-11,2020-01-31,1,20
2020-01-11,2020-02-01,2,21
2020-01-11,2020-02-02,1,22
2020-01-11,2020-02-03,1,23
2020-01-11,2020-02-05,2,25
2020-01-12,2020-01-21,2,9
2020-01-12,2020-01-25,2,13
2020-01-12,2020-01-27,1,15
2020-01-12,2020-01-28,1,16
2020-01-12,2020-01-29,2,17
2020-01-12,2020-01-30,6,18
2020-01-12,2020-02-01,3,20
2020-01-12,2020-02-02,1,21
2020-01-12,2020-02-03,1,22
2020-01-12,2020-02-04,2,23
2020-01-13,2020-01-20,2,7
2020-01-13,2020-01-21,2,8
2020-01-13,2020-01-22,1,9
2020-01-13,2020-01-23,3,10
2020-01-13,2020-01-28,4,15
2020-01-13,2020-01-29,2,16
2020-01-13,2020-01-30,3,17
2020-01-13,2020-01-31,2,18
2020-01-13,2020-02-01,4,19
2020-01-13,2020-02-03,2,21
2020-01-13,2020-02-05,1,23
2020-01-14,2020-01-20,1,6
2020-01-14,2020-01-21,2,7
2020-01-14,2020-01-22,4,8
2020-01-14,2020-01-23,4,9
2020-01-14,2020-01-24,1,10
2020-01-14,2020-01-25,1,11
2020-01-14,2020-01-26,2,12
2020-01-14,2020-01-27,5,13
2020-01-14,2020-01-28,2,14
2020-01-14,2020-01-29,4,15
2020-01-14,2020-01-30,4,16
2020-01-14,2020-01-31,1,17
2020-01-14,2020-02-06,1,23
2020-01-14,2020-02-09,1,26
2020-01-15,2020-01-20,1,5
2020-01-15,2020-01-21,2,6
2020-01-15,2020-01-24,4,9
2020-01-15,2020-01-25,1,10
2020-01-15,2020-01-26,3,11
2020-01-15,2020-01-27,2,12
2020-01-15,2020-01-28,2,13
2020-01-15,2020-01-29,5,14
2020-01-15,2020-01-30,3,15
2020-01-15,2020-01-31,2,16
2020-01-15,2020-02-01,3,17
2020-01-15,2020-02-02,4,18
2020-01-15,2020-02-04,2,20
2020-01-15,2020-02-05,3,21
2020-01-15,2020-02-06,1,22
2020-01-15,2020-02-07,1,23
2020-01-16,2020-01-21,4,5
2020-01-16,2020-01-22,3,6
2020-01-16,2020-01-23,6,7
2020-01-16,2020-01-24,2,8
2020-01-16,2020-01-25,2,9
2020-01-16,2020-01-26,4,10
2020-01-16,2020-01-27,1,11
2020-01-16,2020-01-28,8,12
2020-01-16,2020-01-29,5,13
2020-01-16,2020-01-30,11,14
2020-01-16,2020-01-31,3,15
2020-01-16,2020-02-01,5,16
2020-01-16,2020-02-02,1,17
2020-01-16,2020-02-03,2,18
2020-01-16,2020-02-04,1,19
2020-01-16,2020-02-05,3,20
2020-01-16,2020-02-06,5,21
2020-01-16,2020-02-07,1,22
2020-01-17,2020-01-21,1,4
2020-01-17,2020-01-22,2,5
2020-01-17,2020-01-23,6,6
2020-01-17,2020-01-24,4,7
2020-01-17,2020-01-25,3,8
2020-01-17,2020-01-26,7,9
2020-01-17,2020-01-27,8,10
2020-01-17,2020-01-28,7,11
2020-01-17,2020-01-29,8,12
2020-01-17,2020-01-30,5,13
2020-01-17,2020-01-31,4,14
2020-01-17,2020-02-01,3,15
2020-01-17,2020-02-03,2,17
2020-01-17,2020-02-04,6,18
2020-01-17,2020-02-05,1,19
2020-01-17,2020-02-06,2,20
2020-01-17,2020-02-07,1,21
2020-01-18,2020-01-21,2,3
2020-01-18,2020-01-23,6,5
2020-01-18,2020-01-24,7,6
2020-01-18,2020-01-25,8,7
2020-01-18,2020-01-26,10,8
2020-01-18,2020-01-27,6,9
2020-01-18,2020-01-28,12,10
2020-01-18,2020-01-29,9,11
2020-01-18,2020-01-30,11,12
2020-01-18,2020-01-31,7,13
2020-01-18,2020-02-01,3,14
2020-01-18,2020-02-10,1,23
2020-01-18,2020-02-14,1,27
2020-01-18,2020-02-02,2,15
2020-01-18,2020-02-03,6,16
2020-01-18,2020-02-04,4,17
2020-01-18,2020-02-05,1,18
2020-01-18,2020-02-06,2,19
2020-01-19,2020-01-21,2,2
2020-01-19,2020-01-22,6,3
2020-01-19,2020-01-23,4,4
2020-01-19,2020-01-24,9,5
2020-01-19,2020-01-25,7,6
2020-01-19,2020-01-26,9,7
2020-01-19,2020-01-27,11,8
2020-01-19,2020-01-28,15,9
