reference_date,report_date,count,delay
2020-01-18,2020-01-23,1,5
2020-01-20,2020-01-24,1,4
2020-01-21,2020-01-23,1,2
2020-01-21,2020-01-26,2,5
2020-01-22,2020-01-30,1,8
2020-01-22,2020-02-04,1,13
2020-01-23,2020-01-24,2,1
2020-01-23,2020-02-01,1,9
2020-01-23,2020-02-04,1,12
2020-01-25,2020-01-26,1,1
2020-01-25,2020-01-29,2,4
2020-01-25,2020-02-20,1,26
2020-01-26,2020-02-06,1,11
2020-01-28,2020-01-30,1,2
2020-01-28,2020-02-04,1,7
2020-01-28,2020-02-06,1,9
2020-01-28,2020-02-09,1,12
2020-01-28,2020-02-10,1,13
2020-01-29,2020-01-31,1,2
2020-01-29,2020-02-09,1,11
2020-01-29,2020-02-13,1,15
2020-01-30,2020-02-05,2,6
2020-01-30,2020-02-09,3,10
2020-01-30,2020-02-10,3,11
2020-01-30,2020-02-11,1,12
2020-01-31,2020-02-11,1,11
2020-01-31,2020-02-13,1,13
2020-02-01,2020-02-01,1,0
2020-02-01,2020-02-06,1,5
2020-02-01,2020-02-09,1,8
2020-02-01,2020-02-11,1,10
2020-02-02,2020-02-09,1,7
2020-02-02,2020-02-11,2,9
2020-02-02,2020-02-14,1,12
2020-02-02,2020-02-18,1,16
2020-02-03,2020-02-07,1,4
2020-02-03,2020-02-10,1,7
2020-02-03,2020-02-11,1,8
2020-02-03,2020-02-12,1,9
2020-02-03,2020-02-14,1,11
2020-02-04,2020-02-05,1,1
2020-02-04,2020-02-07,1,3
2020-02-04,2020-02-09,2,5
2020-02-04,2020-02-24,1,20
2020-02-05,2020-02-11,1,6
2020-02-07,2020-02-09,1,2
2020-02-07,2020-02-16,1,9
2020-02-08,2020-02-10,1,2
2020-02-08,2020-02-13,1,5
2020-02-08,2020-02-17,2,9
2020-02-08,2020-02-20,1,12
2020-02-08,2020-02-23,1,15
2020-02-08,2020-02-24,1,16
2020-02-10,2020-02-20,1,10
2020-02-10,2020-02-23,1,13
2020-02-11,2020-02-18,1,7
2020-02-12,2020-02-14,1,2
2020-02-12,2020-02-17,1,5
2020-02-12,2020-02-19,2,7
2020-02-12,2020-02-25,1,13
2020-02-12,2020-02-26,1,14
2020-02-12,2020-03-01,1,18
2020-02-13,2020-02-22,1,9
2020-02-13,2020-02-23,1,10
2020-02-13,2020-02-27,1,14
2020-02-14,2020-02-19,1,5
2020-02-15,2020-03-01,1,15
2020-02-16,2020-02-26,1,10
2020-02-17,2020-02-25,1,8
2020-02-17,2020-02-26,1,9
2020-02-18,2020-02-20,1,2
2020-02-18,2020-02-26,1,8
2020-02-19,2020-02-24,2,5
2020-02-20,2020-02-23,1,3
2020-02-20,2020-02-25,1,5
2020-02-20,2020-02-26,1,6
2020-02-23,2020-03-04,1,10
2020-02-23,2020-03-08,1,14
2020-02-24,2020-02-24,1,0
2020-02-24,2020-04-01,1,37
2020-02-25,2020-02-26,1,1
2020-02-25,2020-02-27,1,2
2020-02-28,2020-03-01,2,2
2020-02-28,2020-03-06,1,7
2020-02-29,2020-02-29,1,0
2020-03-02,2020-03-14,1,12
2020-03-02,2020-03-18,1,16
2020-03-02,2020-03-24,1,22
2020-03-03,2020-03-11,1,8
2020-03-03,2020-03-12,1,9
2020-03-03,2020-03-22,2,19
2020-03-04,2020-03-06,1,2
2020-03-04,2020-03-10,1,6
2020-03-05,2020-03-17,1,12
2020-03-06,2020-03-08,1,2
2020-03-06,2020-03-11,2,5
2020-03-06,2020-03-13,1,7
2020-03-06,2020-03-21,1,15
2020-03-07,2020-03-09,1,2
2020-03-07,2020-03-10,3,3
2020-03-07,2020-03-13,1,6
2020-03-08,2020-03-11,3,3
2020-03-08,2020-03-12,1,4
2020-03-08,2020-03-13,1,5
2020-03-08,2020-03-16,1,8
2020-03-09,2020-03-10,1,1
2020-03-09,2020-03-16,1,7
2020-03-09,2020-03-17,2,8
2020-03-09,2020-03-18,2,9
2020-03-09,2020-03-20,4,11
2020-03-09,2020-03-25,1,16
2020-03-09,2020-04-02,1,24
2020-03-10,2020-03-11,3,1
2020-03-10,2020-03-13,1,3
2020-03-10,2020-03-14,1,4
2020-03-10,2020-03-15,3,5
2020-03-10,2020-03-17,3,7
2020-03-10,2020-03-19,1,9
2020-03-10,2020-03-25,1,15
2020-03-10,2020-03-28,1,18
2020-03-10,2020-04-01,1,22
2020-03-10,2020-04-05,1,26
2020-03-10,2020-04-09,1,30
2020-03-11,2020-03-15,2,4
2020-03-11,2020-03-16,1,5
2020-03-11,2020-03-18,4,7
2020-03-11,2020-03-20,2,9
2020-03-11,2020-03-23,2,12
2020-03-11,2020-03-24,1,13
2020-03-11,2020-03-26,1,15
2020-03-11,2020-03-28,1,17
2020-03-11,2020-04-05,1,25
2020-03-11,2020-04-07,1,27
2020-03-12,2020-03-13,1,1
2020-03-12,2020-03-14,2,2
2020-03-12,2020-03-17,2,5
2020-03-12,2020-03-18,4,6
2020-03-12,2020-03-19,1,7
2020-03-12,2020-03-20,2,8
2020-03-12,2020-03-22,1,10
2020-03-12,2020-03-25,1,13
2020-03-12,2020-03-27,1,15
2020-03-12,2020-03-28,1,16
2020-03-12,2020-03-30,1,18
2020-03-12,2020-04-01,2,20
2020-03-12,2020-04-05,1,24
2020-03-13,2020-03-15,1,2
2020-03-13,2020-03-16,2,3
2020-03-13,2020-03-18,1,5
2020-03-13,2020-03-19,2,6
2020-03-13,2020-03-20,2,7
2020-03-13,2020-03-21,2,8
2020-03-13,2020-03-23,2,10
2020-03-13,2020-03-25,1,12
2020-03-13,2020-03-26,1,13
2020-03-13,2020-03-27,2,14
2020-03-13,2020-04-01,1,19
2020-03-14,2020-03-15,1,1
2020-03-14,2020-03-18,1,4
2020-03-14,2020-03-19,1,5
2020-03-14,2020-03-20,2,6
2020-03-14,2020-03-21,1,7
2020-03-14,2020-03-22,3,8
2020-03-14,2020-03-23,1,9
2020-03-14,2020-03-24,1,10
2020-03-14,2020-03-26,1,12
2020-03-14,2020-03-27,1,13
2020-03-14,2020-03-29,1,15
2020-03-14,2020-03-30,1,16
2020-03-14,2020-03-31,1,17
2020-03-14,2020-04-07,1,24
2020-03-14,2020-04-09,1,26
2020-03-15,2020-03-16,3,1
2020-03-15,2020-03-17,1,2
2020-03-15,2020-03-18,3,3
2020-03-15,2020-03-19,1,4
2020-03-15,2020-03-20,2,5
2020-03-15,2020-03-21,2,6
2020-03-15,2020-03-22,3,7
2020-03-15,2020-03-23,1,8
2020-03-15,2020-03-24,1,9
2020-03-15,2020-03-27,2,12
2020-03-15,2020-03-28,4,13
2020-03-15,2020-03-30,1,15
2020-03-15,2020-04-05,1,21
2020-03-16,2020-03-18,6,2
2020-03-16,2020-03-19,4,3
2020-03-16,2020-03-20,8,4
2020-03-16,2020-03-21,1,5
2020-03-16,2020-03-22,9,6
2020-03-16,2020-03-23,1,7
2020-03-16,2020-03-24,1,8
2020-03-16,2020-03-25,1,9
2020-03-16,2020-03-26,1,10
2020-03-16,2020-03-27,1,11
2020-03-16,2020-03-28,1,12
2020-03-16,2020-04-01,1,16
2020-03-16,2020-04-03,1,18
2020-03-16,2020-04-04,1,19
2020-03-16,2020-04-05,1,20
2020-03-16,2020-04-23,1,38
2020-03-16,2020-05-15,1,60
2020-03-17,2020-03-18,3,1
2020-03-17,2020-03-19,1,2
2020-03-17,2020-03-20,7,3
2020-03-17,2020-03-21,3,4
2020-03-17,2020-03-22,5,5
2020-03-17,2020-03-23,2,6
2020-03-17,2020-03-24,2,7
2020-03-17,2020-03-25,2,8
2020-03-17,2020-03-26,5,9
2020-03-17,2020-03-28,1,11
2020-03-17,2020-03-29,2,12
2020-03-17,2020-03-31,1,14
2020-03-17,2020-04-01,1,15
2020-03-17,2020-04-05,1,19
2020-03-17,2020-04-10,1,24
2020-03-17,2020-04-15,1,29
2020-03-17,2020-04-17,1,31
2020-03-18,2020-03-19,5,1
2020-03-18,2020-03-20,11,2
2020-03-18,2020-03-21,4,3
2020-03-18,2020-03-22,5,4
2020-03-18,2020-03-23,3,5
2020-03-18,2020-03-24,2,6
2020-03-18,2020-03-26,2,8
2020-03-18,2020-03-27,1,9
2020-03-18,2020-03-28,1,10
2020-03-18,2020-03-30,1,12
2020-03-18,2020-04-01,1,14
2020-03-18,2020-04-03,2,16
2020-03-19,2020-03-20,6,1
2020-03-19,2020-03-21,2,2
2020-03-19,2020-03-22,7,3
2020-03-19,2020-03-23,7,4
2020-03-19,2020-03-24,4,5
2020-03-19,2020-03-25,2,6
2020-03-19,2020-03-26,2,7
2020-03-19,2020-03-27,5,8
2020-03-19,2020-03-28,2,9
2020-03-19,2020-03-29,3,10
2020-03-19,2020-03-31,1,12
2020-03-19,2020-04-01,1,13
2020-03-19,2020-04-03,1,15
2020-03-19,2020-04-10,1,22
2020-03-20,2020-03-22,7,2
2020-03-20,2020-03-23,8,3
2020-03-20,2020-03-24,5,4
2020-03-20,2020-03-25,3,5
2020-03-20,2020-03-26,5,6
2020-03-20,2020-03-27,3,7
2020-03-20,2020-03-28,3,8
2020-03-20,2020-03-30,1,10
2020-03-20,2020-04-01,1,12
2020-03-20,2020-04-05,1,16
2020-03-20,2020-04-09,1,20
2020-03-21,2020-03-23,6,2
2020-03-21,2020-03-24,3,3
2020-03-21,2020-03-25,2,4
2020-03-21,2020-03-26,3,5
2020-03-21,2020-03-27,4,6
2020-03-21,2020-03-28,3,7
2020-03-21,2020-03-29,3,8
2020-03-21,2020-03-30,2,9
2020-03-21,2020-04-03,1,13
2020-03-21,2020-04-05,1,15
2020-03-21,2020-04-06,1,16
2020-03-21,2020-04-09,1,19
2020-03-22,2020-03-23,2,1
2020-03-22,2020-03-24,5,2
2020-03-22,2020-03-25,3,3
2020-03-22,2020-03-26,4,4
2020-03-22,2020-03-27,4,5
2020-03-22,2020-03-28,5,6
2020-03-22,2020-03-29,2,7
2020-03-22,2020-03-30,2,8
2020-03-22,2020-03-31,3,9
2020-03-22,2020-04-04,1,13
2020-03-23,2020-03-24,1,1
2020-03-23,2020-03-25,4,2
2020-03-23,2020-03-26,7,3
2020-03-23,2020-03-27,7,4
2020-03-23,2020-03-28,2,5
2020-03-23,2020-03-29,6,6
2020-03-23,2020-03-30,1,7
2020-03-23,2020-03-31,1,8
2020-03-23,2020-04-01,5,9
2020-03-23,2020-04-02,1,10
2020-03-23,2020-04-03,2,11
2020-03-23,2020-04-05,1,13
2020-03-23,2020-04-06,2,14
2020-03-23,2020-04-07,1,15
2020-03-24,2020-03-25,1,1
2020-03-24,2020-03-26,6,2
2020-03-24,2020-03-27,9,3
2020-03-24,2020-03-28,5,4
2020-03-24,2020-03-29,6,5
2020-03-24,2020-03-30,2,6
2020-03-24,2020-03-31,1,7
2020-03-24,2020-04-01,2,8
2020-03-24,2020-04-02,4,9
2020-03-24,2020-04-03,2,10
2020-03-24,2020-04-04,1,11
2020-03-24,2020-04-06,1,13
2020-03-24,2020-04-22,1,29
2020-03-25,2020-03-26,4,1
2020-03-25,2020-03-27,6,2
2020-03-25,2020-03-28,6,3
2020-03-25,2020-03-29,5,4
2020-03-25,2020-03-31,1,6
2020-03-25,2020-04-01,2,7
2020-03-25,2020-04-02,3,8
2020-03-25,2020-04-03,2,9
2020-03-25,2020-04-04,2,10
2020-03-25,2020-04-05,1,11
2020-03-25,2020-04-09,2,15
2020-03-25,2020-04-11,2,17
2020-03-25,2020-04-13,1,19
2020-03-26,2020-03-27,7,1
2020-03-26,2020-03-28,9,2
2020-03-26,2020-03-29,7,3
2020-03-26,2020-03-30,1,4
2020-03-26,2020-04-01,3,6
2020-03-26,2020-04-02,1,7
2020-03-26,2020-04-03,2,8
2020-03-26,2020-04-10,1,15
2020-03-26,2020-04-23,1,28
2020-03-27,2020-03-28,5,1
2020-03-27,2020-03-29,7,2
2020-03-27,2020-03-30,7,3
2020-03-27,2020-03-31,7,4
2020-03-27,2020-04-01,4,5
2020-03-27,2020-04-02,1,6
2020-03-27,2020-04-03,2,7
2020-03-27,2020-04-06,3,10
2020-03-27,2020-04-09,1,13
2020-03-28,2020-03-29,2,1
2020-03-28,2020-03-30,3,2
2020-03-28,2020-03-31,2,3
2020-03-28,2020-04-01,4,4
2020-03-28,2020-04-03,1,6
2020-03-28,2020-04-05,1,8
2020-03-28,2020-04-06,1,9
2020-03-28,2020-04-10,1,13
2020-03-28,2020-04-11,1,14
2020-03-28,2020-04-25,1,28
2020-03-29,2020-03-30,5,1
2020-03-29,2020-03-31,5,2
2020-03-29,2020-04-01,5,3
2020-03-29,2020-04-02,4,4
2020-03-29,2020-04-03,3,5
2020-03-29,2020-04-04,2,6
2020-03-29,2020-04-07,1,9
2020-03-29,2020-04-09,1,11
2020-03-29,2020-04-13,1,15
2020-03-30,2020-03-31,2,1
2020-03-30,2020-04-01,2,2
2020-03-30,2020-04-02,3,3
2020-03-30,2020-04-03,1,4
2020-03-30,2020-04-04,2,5
2020-03-30,2020-04-05,1,6
2020-03-30,2020-04-06,1,7
2020-03-30,2020-04-08,3,9
2020-03-30,2020-04-10,2,11
2020-03-31,2020-04-01,4,1
2020-03-31,2020-04-02,5,2
2020-03-31,2020-04-03,5,3
